Year,Nuclear,Biomass,Imports,Hydro,Wind,Solar,Gas,Coal,Biomass_CCS,Gas_CCS,Nuclear_gco2_kwh,Biomass_gco2_kwh,Imports_gco2_kwh,Hydro_gco2_kwh,Wind_gco2_kwh,Solar_gco2_kwh,Gas_gco2_kwh,Coal_gco2_kwh,Biomass_CCS_gco2_kwh,Gas_CSS_gco2_kwh,gco2_kwh
2009,0.200499558,0,0.000281656,0.010984479,0.027485091,0,0.454620788,0.30612843,0,0,12,230,840.3410286,24,12,45,490,820,23,170,477.0256288
2010,0.17706658,0,0,0.006476073,0.030653364,3.22467E-05,0.475302452,0.311910742,0,0,12,230,0,24,12,45,490,820,23,171,491.3145256
2011,0.203503425,0,0.011979475,0.011615513,0.047974006,0.000490837,0.399155565,0.325281183,0,0,12,230,100.6226888,24,12,45,490,820,23,172,466.8407928
2012,0.206745256,0.006552829,0.027502797,0.010259164,0.054983666,0.003808851,0.260250559,0.429896882,0,0,12,230,61.3564188,24,12,45,490,820,23,173,486.7912061
2013,0.207307021,0.012113229,0.037170858,0.009163026,0.077008049,0.009646934,0.252229705,0.39536118,0,0,12,230,58.44562791,24,12,45,490,820,23,174,456.8130449
2014,0.195124276,0.02440254,0.059682173,0.012819918,0.092641496,0.016350086,0.283283936,0.315695574,0,0,12,230,46.19560819,24,12,45,490,820,23,175,410.5457592
2015,0.218709618,0.037585195,0.065168412,0.013639066,0.108027372,0.02804816,0.280879173,0.247943003,0,0,12,230,50.97295816,24,12,45,490,820,23,176,358.4208274
2016,0.225032618,0.047837651,0.057109621,0.011397339,0.103050912,0.032252359,0.428931117,0.094388385,0,0,12,230,68.1236069,24,12,45,490,820,23,177,308.1297904
2017,0.222898252,0.049193907,0.051684531,0.013470007,0.151613898,0.035443389,0.405594035,0.07010198,0,0,12,230,85.87354939,24,12,45,490,820,23,178,278.3900118
2018,0.206653394,0.057336755,0.063997806,0.010933868,0.176143697,0.039368173,0.39311751,0.052448797,0,0,12,230,77.67216644,24,12,45,490,820,23,179,260.4214405
2019,0.18450147,0.062887683,0.073663561,0.01250703,0.204674666,0.040772681,0.400233357,0.020759552,0,0,12,230,76.53274389,24,12,45,490,820,23,180,240.0440722
2020,0.175874707,0.072223763,0.067754028,0.016005728,0.254738314,0.044696951,0.352452342,0.016254168,0,0,12,230,96.96041264,24,12,45,490,820,23,181,216.7738456
2021,0.157185594,0.075488322,0.082965963,0.011726135,0.225730569,0.040625774,0.388267118,0.018010525,0,0,12,230,83.77178355,24,12,45,490,820,23,182,236.0366206
2022,0.167921732,0.065809702,0,0.012502136,0.290223931,0.04594045,0.417455567,0.016039179,0,0,12,230,0,24,12,45,490,820,23,183,240.7067058
2023,0.146250503,0.060882641,0.090121753,0.012415427,0.301796699,0.046706105,0.331278111,0.010548761,0,0,12,230,94.34624041,24,12,45,490,820,23,184,201.2582259
2024,0.144091029,0.070674828,0.131848736,0.013481543,0.310526118,0.049870442,0.273611476,0.005895828,0,0,12,230,0,24,12,45,490,820,23,185,163.1825453
