,fuel,reg_year,test_year,y_mean,y_lower,y_upper,n
0,car_hev,2010,2013,18755.141003939363,18621.05676985558,18889.225238023148,8377
1,car_hev,2010,2014,18319.698823824452,18145.079578470268,18494.318069178637,7975
2,car_hev,2010,2015,19986.34358896482,19793.52794948351,20179.159228446133,7902
3,car_hev,2010,2016,20250.054023904384,20047.574082761872,20452.533965046896,7781
4,car_hev,2010,2017,21772.475343953658,21541.40662378383,22003.544064123485,6905
5,car_hev,2010,2018,21368.002769127517,21144.75122443295,21591.254313822086,7450
6,car_hev,2010,2019,21396.451896551724,21165.713368633576,21627.19042446987,7308
7,car_hev,2010,2020,16742.389066666667,16543.200934474182,16941.57719885915,6900
8,car_hev,2010,2021,13788.93120872811,13622.232735425949,13955.629682030272,6966
9,car_hev,2010,2022,14531.240410204378,14368.293627693463,14694.187192715293,6899
10,car_hev,2010,2023,14553.215491424311,14382.82296478477,14723.608018063853,6705
11,car_hev,2010,2024,14788.74156378601,14491.330934665217,15086.152192906804,5589
12,car_hev,2011,2014,18305.93092540235,18176.92843629425,18434.93341451045,9196
13,car_hev,2011,2015,17850.303411397348,17692.539233619693,18008.067589175003,8967
14,car_hev,2011,2016,18450.713597877628,18281.5985487777,18619.828646977556,8858
15,car_hev,2011,2017,19466.929496855348,19273.123734118275,19660.73525959242,7791
16,car_hev,2011,2018,19240.211341898645,19047.48539558865,19432.93728820864,8406
17,car_hev,2011,2019,19191.58042194093,18993.33979188612,19389.82105199574,8295
18,car_hev,2011,2020,15061.661907661088,14892.183363071414,15231.140452250762,7884
19,car_hev,2011,2021,14221.522065364295,14050.68071455933,14392.36341616926,8139
20,car_hev,2011,2022,14764.138778558876,14603.941355380224,14924.336201737528,7966
21,car_hev,2011,2023,13820.319055128204,13672.053190815388,13968.58491944102,7800
22,car_hev,2011,2024,13533.176948775057,13363.845385082775,13702.508512467339,6286
23,car_hev,2012,2015,17852.156671313078,17748.81895285957,17955.494389766587,14348
24,car_hev,2012,2016,17085.736987570945,16966.768154339472,17204.705820802417,13919
25,car_hev,2012,2017,17896.613795030018,17753.18100554496,18040.046584515076,11992
26,car_hev,2012,2018,17534.41143349569,17392.672612026974,17676.150254964406,13345
27,car_hev,2012,2019,17427.71337430338,17284.44160941893,17570.985139187833,13099
28,car_hev,2012,2020,13630.587035223505,13512.164340957568,13749.009729489442,12662
29,car_hev,2012,2021,13438.116632605668,13306.443227032594,13569.790038178742,12918
30,car_hev,2012,2022,15408.748663809896,15268.301505259833,15549.19582235996,12835
31,car_hev,2012,2023,14095.89133722344,13972.405222557807,14219.377451889073,12339
32,car_hev,2012,2024,12883.87677419355,12753.16322139636,13014.59032699074,9982
33,car_hev,2013,2016,17930.48298000404,17851.49658203301,18009.469377975067,24755
34,car_hev,2013,2017,17001.449428929725,16901.581841123567,17101.317016735884,20733
35,car_hev,2013,2018,16624.117068165055,16527.40375993066,16720.830376399448,23047
36,car_hev,2013,2019,16522.315351908095,16420.201867539803,16624.428836276387,22719
37,car_hev,2013,2020,13247.118873089883,13162.288094389714,13331.949651790052,21661
38,car_hev,2013,2021,12370.98602939194,12279.930591040658,12462.04146774322,22251
39,car_hev,2013,2022,14399.749457483302,14302.29864119938,14497.200273767223,22156
40,car_hev,2013,2023,14731.149695707882,14628.86095173655,14833.438439679214,21854
41,car_hev,2013,2024,13631.966975041598,13532.952203658753,13730.981746424442,18030
42,car_hev,2014,2017,18069.22444962981,17990.276589401583,18148.17230985804,28499
43,car_hev,2014,2018,16938.54257101589,16841.429593838722,17035.655548193055,27001
44,car_hev,2014,2019,16922.170094142657,16825.817105250488,17018.523083034826,26343
45,car_hev,2014,2020,13577.083185759746,13495.808190114698,13658.358181404794,25140
46,car_hev,2014,2021,12495.903161542632,12409.948386940023,12581.857936145241,25826
47,car_hev,2014,2022,14866.102891050587,14771.837243820823,14960.36853828035,25700
48,car_hev,2014,2023,15011.426153543154,14917.835858675862,15105.016448410446,25387
49,car_hev,2014,2024,15396.50194408503,15272.383512304385,15520.620375865676,21640
50,car_hev,2015,2018,17932.354993896515,17863.215232743725,18001.494755049305,40141
51,car_hev,2015,2019,17096.07357931542,17017.474677171762,17174.672481459078,38038
52,car_hev,2015,2020,13869.237882159388,13800.400995041256,13938.07476927752,35862
53,car_hev,2015,2021,12848.657693681504,12774.56201908119,12922.753368281818,36955
54,car_hev,2015,2022,15289.728688867746,15206.461332408991,15372.996045326501,36785
55,car_hev,2015,2023,15720.190735286023,15633.21813122039,15807.163339351657,36326
56,car_hev,2015,2024,15800.136623777496,15704.275088421218,15895.998159133775,30777
57,car_hev,2016,2019,17113.43273536417,17052.170422721298,17174.695048007045,47862
58,car_hev,2016,2020,13546.04933540807,13486.52378659523,13605.57488422091,44343
59,car_hev,2016,2021,12546.808752139033,12482.387735890268,12611.229768387799,44997
60,car_hev,2016,2022,15263.57318777877,15189.05190826792,15338.094467289618,44840
61,car_hev,2016,2023,15647.495478666759,15570.148163186917,15724.8427941466,44133
62,car_hev,2016,2024,15698.883602612397,15615.328820965868,15782.438384258927,36901
63,car_hev,2017,2020,15901.777195896708,15852.038551121725,15951.515840671691,53518
64,car_hev,2017,2021,11856.801601696076,11800.958855250265,11912.644348141886,51177
65,car_hev,2017,2022,14654.59282302039,14590.2847786665,14718.90086737428,50616
66,car_hev,2017,2023,15098.037705400717,15033.9559605318,15162.119450269633,49586
67,car_hev,2017,2024,14895.974988938055,14821.136269858589,14970.81370801752,41584
68,car_hev,2018,2021,14696.530571557048,14656.564391548565,14736.496751565532,80062
69,car_hev,2018,2022,14815.43759490263,14767.249619892544,14863.625569912718,78001
70,car_hev,2018,2023,15298.999419496027,15248.592610611135,15349.40622838092,76313
71,car_hev,2018,2024,15338.36555022881,15273.964644954049,15402.76645550357,64246
72,car_hev,2019,2022,15146.787085038919,15106.081825343796,15187.492344734042,104070
73,car_hev,2019,2023,16178.141003138233,16133.906840517686,16222.37516575878,100375
74,car_hev,2019,2024,16166.659996867924,16110.987950148665,16222.332043587183,83012
75,car_hev,2020,2023,14469.558918151835,14420.24213888299,14518.87569742068,174054
76,car_hev,2020,2024,14965.413351611833,14932.095205906859,14998.731497316807,138414
77,car_hev,2021,2024,15105.635373457895,15085.829173316592,15125.441573599199,255089
78,car_bev,2012,2015,8834.796277602525,8641.768949014491,9027.823606190559,634
79,car_bev,2012,2016,10084.741851851853,9800.07434810677,10369.409355596938,567
80,car_bev,2012,2017,9446.035368217053,9177.697907461274,9714.372828972833,516
81,car_bev,2012,2018,9182.665569620254,8932.074750954052,9433.256388286456,553
82,car_bev,2012,2019,8814.836195028682,8531.273795524517,9098.398594532846,523
83,car_bev,2012,2020,6918.606386036962,6666.584914871471,7170.627857202454,487
84,car_bev,2012,2021,5944.183636363637,5710.838744558041,6177.528528169232,506
85,car_bev,2012,2022,6394.31584178499,6168.499991648548,6620.131691921432,493
86,car_bev,2012,2023,5736.381422413794,5542.175927000071,5930.586917827517,464
87,car_bev,2012,2024,5171.528061538462,4946.691259395812,5396.364863681111,325
