,fuel,test_year,age,y_mean,y_lower,y_upper,n
0,car_hev,2010,3,18681.882396933564,18536.776671213047,18826.988122654082,5870
1,car_hev,2011,3,19278.805819070905,19128.421667786966,19429.189970354844,5726
2,car_hev,2011,4,16606.93535254116,16453.506477521914,16760.364227560407,5588
3,car_hev,2012,3,18575.911521543178,18417.938815389516,18733.88422769684,5547
4,car_hev,2012,4,17678.03081789257,17400.627341708718,17955.43429407642,5343
5,car_hev,2012,5,15938.08850597976,15785.305129919197,16090.871882040323,5435
6,car_hev,2013,3,18935.16672043011,18801.389908040303,19068.943532819914,8556
7,car_hev,2013,4,17505.05018320334,17316.759434707477,17693.340931699204,5513
8,car_hev,2013,5,17537.376908221802,17348.5229440353,17726.230872408305,5230
9,car_hev,2013,6,15717.955356609413,15552.078785498179,15883.831927720646,5356
10,car_hev,2014,3,18480.01606992418,18356.653497070358,18603.378642778,9496
11,car_hev,2014,4,18778.615234859324,18603.213188186266,18954.017281532382,8388
12,car_hev,2014,5,19500.90473061297,19284.903334183342,19716.906127042595,5661
13,car_hev,2014,6,17687.02325448302,17483.954035530496,17890.092473435547,5242
14,car_hev,2014,7,15610.110291317593,15445.46714981016,15774.753432825026,5252
15,car_hev,2015,3,18090.198617907863,17988.766982821304,18191.630252994422,14999
16,car_hev,2015,4,19034.664966976266,18871.58715484591,19197.742779106622,9690
17,car_hev,2015,5,20992.971347699473,20796.070795368934,21189.87190003001,8585
18,car_hev,2015,6,20089.94110565111,19855.21053972743,20324.671671574786,5698
19,car_hev,2015,7,17595.445415708815,17383.600958224095,17807.289873193535,5220
20,car_hev,2015,8,15335.20686949866,15163.17829256049,15507.235446436829,5226
21,car_hev,2016,3,18212.9613723567,18133.23673137357,18292.686013339833,25489
22,car_hev,2016,4,17948.634614666047,17826.76642345758,18070.502805874516,14987
23,car_hev,2016,5,19936.47010897502,19763.471998398156,20109.468219551884,9727
24,car_hev,2016,6,21412.27060358891,21212.315799918593,21612.225407259226,8582
25,car_hev,2016,7,20417.14181818182,20179.268317693477,20655.01531867016,5654
26,car_hev,2016,8,17582.073437500003,17367.476964347337,17796.66991065267,5152
27,car_hev,2016,9,15466.276589102192,15279.220444227569,15653.332733976815,5157
28,car_hev,2017,3,18376.023496949434,18297.14164836811,18454.90534553076,29011
29,car_hev,2017,4,17613.233649776106,17510.199720178185,17716.267579374027,21215
30,car_hev,2017,5,18889.900726239346,18743.36017892357,19036.441273555123,12668
31,car_hev,2017,6,20964.104521728572,20763.707276340287,21164.501767116857,8238
32,car_hev,2017,7,22744.84330139611,22515.548271723146,22974.138331069076,7306
33,car_hev,2017,8,21165.7928436019,20897.516293467193,21434.069393736605,4853
34,car_hev,2017,9,17570.21213826367,17329.64900669471,17810.775269832626,4354
35,car_hev,2017,10,15111.757516129033,14913.266499756692,15310.248532501375,4340
36,car_hev,2018,3,18427.32446174388,18357.79544043855,18496.85348304921,41941
37,car_hev,2018,4,17788.542570593618,17687.740879532757,17889.344261654478,28402
38,car_hev,2018,5,17626.271058867085,17523.90215359423,17728.63996413994,24309
39,car_hev,2018,6,19127.788706825657,18980.840578087,19274.736835564312,14592
40,car_hev,2018,7,21220.53871604938,21022.526011256905,21418.551420841857,9315
41,car_hev,2018,8,22837.263166666668,22617.17041562423,23057.355917709105,8280
42,car_hev,2018,9,21261.806174186393,21003.642681792226,21519.96966658056,5408
43,car_hev,2018,10,17102.404107579467,16879.85195543371,17324.956259725222,4908
44,car_hev,2018,11,14554.790734870317,14374.433505631636,14735.147964108999,4858
45,car_hev,2019,3,17735.976032703955,17673.327207186598,17798.624858221312,50208
46,car_hev,2019,4,17916.876124785344,17835.79683277373,17997.955416796958,40181
47,car_hev,2019,5,18046.11019016137,17945.673314252737,18146.54706607,28134
48,car_hev,2019,6,17742.587706380153,17632.838556284478,17852.336856475828,24106
49,car_hev,2019,7,18971.305791505794,18823.238203759705,19119.373379251883,14504
50,car_hev,2019,8,21127.76895213172,20926.48562581556,21329.052278447878,9171
51,car_hev,2019,9,22906.942062376726,22674.654152772535,23139.229971980916,8112
52,car_hev,2019,10,20863.543678510356,20603.17499163412,21123.91236538659,5263
53,car_hev,2019,11,15327.418146875672,15120.5579624058,15534.278331345546,4657
54,car_hev,2019,12,14044.269976610674,13859.728912677367,14228.811040543982,4703
55,car_hev,2022,3,15323.31996551692,15285.44711683084,15361.192814203,107879
56,car_hev,2022,4,15235.948921879013,15185.793173978593,15286.104669779434,81809
57,car_hev,2022,5,15437.07088912928,15372.471795217234,15501.669983041325,52692
58,car_hev,2022,6,16129.03649484977,16052.5401751502,16205.53281454934,46794
59,car_hev,2022,7,16479.449778708135,16391.723668628292,16567.175888787977,38456
60,car_hev,2022,8,15969.866466419538,15870.970599363018,16068.76233347606,27516
61,car_hev,2022,9,15606.308498098859,15501.59971006051,15711.017286137208,23144
62,car_hev,2022,10,16927.204202258225,16778.700142538342,17075.708261978107,14259
63,car_hev,2022,11,15229.511430706016,15064.842577417656,15394.180283994376,8031
64,car_hev,2022,12,15002.622409315456,14832.494988558918,15172.749830071994,7085
65,car_hev,2022,13,15260.746727272726,15034.359993244385,15487.133461301068,4620
66,car_hev,2022,14,13309.159130745416,13123.335228312824,13494.983033178009,4199
67,car_hev,2022,15,13128.019492085992,12939.416441711483,13316.622542460502,4233
68,car_hev,2023,3,14907.012676437771,14857.377348495336,14956.648004380206,178349
69,car_hev,2023,4,16680.524293012415,16635.55576734597,16725.49281867886,105115
70,car_hev,2023,5,15806.978860410536,15753.727133554048,15860.230587267024,80529
71,car_hev,2023,6,15989.132580503037,15921.633180106981,16056.631980899094,52203
72,car_hev,2023,7,16538.96135802469,16462.890914557316,16615.031801492067,46575
73,car_hev,2023,8,16775.514943902697,16684.172645936855,16866.85724186854,38148
74,car_hev,2023,9,15903.881389173375,15807.610863356877,16000.151914989874,27340
75,car_hev,2023,10,15736.86253761284,15631.419931728698,15842.305143496982,22931
76,car_hev,2023,11,14544.358826126676,14419.111395166523,14669.606257086829,13136
77,car_hev,2023,12,13907.051449456454,13760.753065654273,14053.349833258635,8003
78,car_hev,2023,13,14940.521894342883,14766.675585520103,15114.368203165663,6947
79,car_hev,2023,14,15170.227815916047,14952.577242673045,15387.878389159048,4574
80,car_hev,2023,15,13299.698122850123,13112.794861979397,13486.601383720848,4070
81,car_hev,2023,16,13304.940947265626,13115.851165432368,13494.030729098884,4096
82,car_hev,2024,3,15114.709485205802,15095.091428187414,15134.32754222419,268923
83,car_hev,2024,4,15367.33060532753,15333.593784192726,15401.067426462334,148399
84,car_hev,2024,5,16672.312744244828,16617.867529380324,16726.75795910933,91005
85,car_hev,2024,6,15834.737125818752,15772.055763857998,15897.418487779507,71603
86,car_hev,2024,7,15636.117300788892,15558.46538433718,15713.769217240604,46521
87,car_hev,2024,8,16436.179619571867,16353.506610902845,16518.85262824089,40875
88,car_hev,2024,9,16547.0414049246,16452.32585266845,16641.756957180747,33952
89,car_hev,2024,10,16111.48725037049,15992.419026652677,16230.555474088304,24967
90,car_hev,2024,11,13892.32813271293,13794.302659165125,13990.353606260735,19772
91,car_hev,2024,12,13164.337732793523,13039.626278624439,13289.049186962608,11609
92,car_hev,2024,13,13717.358774834438,13553.146103469699,13881.571446199177,6946
93,car_hev,2024,14,15037.472123907864,14764.573535665664,15310.370712150065,6295
94,car_hev,2024,15,15008.33004240459,14775.086481082908,15241.573603726272,4009
95,car_hev,2024,16,12942.406409395973,12754.467283844671,13130.345534947275,3576
96,car_hev,2024,17,13085.750278390296,12884.193683181331,13287.306873599262,3628
97,car_bev,2015,3,8695.054382022474,8501.846569875015,8888.262194169933,623
98,car_bev,2016,3,12143.941869978087,11950.453428250343,12337.430311705832,1369
99,car_bev,2016,4,9928.201319073083,9635.180151861954,10221.222486284212,561
100,car_bev,2017,3,12110.528346647301,11996.814050911735,12224.242642382867,4131
101,car_bev,2017,4,11710.174,11471.385141909706,11948.962858090295,1030
102,car_bev,2017,5,9666.33312633833,9378.411637450276,9954.254615226384,467
103,car_bev,2018,3,12220.501162660703,12128.133965492707,12312.868359828699,7156
104,car_bev,2018,4,12299.435677083333,12157.485544625792,12441.385809540874,3840
105,car_bev,2018,5,11353.95018683997,11159.039635759375,11548.860737920564,1231
106,car_bev,2018,6,9337.747756286268,9074.679678449327,9600.815834123208,517
107,car_bev,2019,3,14268.924596744584,14166.4970180277,14371.352175461469,8171
108,car_bev,2019,4,12625.705328087886,12513.591082999637,12737.819573176135,6736
109,car_bev,2019,5,12462.756175053535,12309.838212023044,12615.674138084027,3736
110,car_bev,2019,6,11375.402727272727,11178.058499595492,11572.746954949962,1232
111,car_bev,2019,7,8950.591749502983,8664.355874969948,9236.827624036017,503
112,car_bev,2022,3,13401.536179357341,13351.083753819288,13451.988604895394,31992
113,car_bev,2022,4,13583.403203898759,13490.822351913645,13675.984055883873,12722
114,car_bev,2022,5,13484.615783084311,13370.2373014364,13598.994264732222,7496
115,car_bev,2022,6,12214.394270847057,12101.661358301642,12327.127183392471,7591
116,car_bev,2022,7,10468.178867686485,10364.530364528428,10571.827370844543,6341
117,car_bev,2022,8,10027.520688497061,9906.318567762508,10148.722809231615,3573
118,car_bev,2022,9,8765.862777777778,8598.43675742915,8933.288798126407,1242
119,car_bev,2022,10,6763.550885529159,6522.745710825267,7004.356060233051,463
120,car_bev,2023,3,14248.151350874587,14218.541980120337,14277.760721628836,94102
121,car_bev,2023,4,14262.547272488253,14202.027717385437,14323.066827591068,30427
122,car_bev,2023,5,13397.552434567508,13304.849866325474,13490.255002809541,12532
123,car_bev,2023,6,13286.040367009211,13167.52300464934,13404.557729369082,7493
124,car_bev,2023,7,12177.822846236271,12059.684878467913,12295.96081400463,7466
125,car_bev,2023,8,10162.410409263959,10061.274548000827,10263.546270527091,6304
126,car_bev,2023,9,9697.860285551113,9566.682905934229,9829.037665167996,3502
127,car_bev,2023,10,8214.194823045269,8045.215533695693,8383.174112394845,1215
128,car_bev,2023,11,6054.5220264317195,5853.248815904238,6255.795236959201,454
129,car_bev,2024,3,15748.076849270818,15721.263672630166,15774.890025911469,151676
130,car_bev,2024,4,14670.439150462387,14630.23773760745,14710.640563317325,80020
131,car_bev,2024,5,14060.752538706334,13996.671338885038,14124.83373852763,27967
132,car_bev,2024,6,12631.531286132453,12536.374513596958,12726.688058667947,10932
133,car_bev,2024,7,12151.62059306287,12028.197356027204,12275.043830098535,6458
134,car_bev,2024,8,11059.591751592357,10940.822813379684,11178.360689805031,6594
135,car_bev,2024,9,9322.974785353537,9221.46260870629,9424.486962000785,5544
136,car_bev,2024,10,8776.905541441727,8658.829564705666,8894.981518177789,3149
137,car_bev,2024,11,7329.175412511333,7171.486561358433,7486.864263664233,1103
138,car_bev,2024,12,5276.493577235772,5066.5673487997865,5486.419805671758,369
139,car_diesel,2010,3,22040.248663233637,22011.572615209865,22068.92471125741,184288
140,car_diesel,2010,4,19342.25744973583,19311.93670827635,19372.57819119531,170151
141,car_diesel,2010,5,17985.70521862333,17957.399149237062,18014.0112880096,159864
142,car_diesel,2010,6,16996.455053168556,16967.362313081052,17025.54779325606,150747
143,car_diesel,2010,7,16385.35265888857,16354.4693639283,16416.235953848838,122995
144,car_diesel,2010,8,15588.888097357329,15561.349610589637,15616.42658412502,166952
145,car_diesel,2010,9,14895.842139446037,14859.558184261692,14932.126094630381,124593
146,car_diesel,2010,10,14185.97724506445,14134.818058406541,14237.13643172236,85806
147,car_diesel,2010,11,13433.873409738235,13389.413099977077,13478.333719499393,66357
148,car_diesel,2010,12,12782.885781107678,12724.509376237702,12841.262185977654,55991
149,car_diesel,2010,13,12080.592658788773,12011.130027790461,12150.055289787086,46713
150,car_diesel,2010,14,11534.050429655057,11437.467813578653,11630.633045731462,36122
151,car_diesel,2010,15,11093.991995942912,11011.559838756755,11176.424153129068,27606
152,car_diesel,2010,16,10943.102399515152,10822.54427911695,11063.660519913354,20625
153,car_diesel,2011,3,21817.960941168352,21783.82782750822,21852.094054828485,188436
154,car_diesel,2011,4,19226.777564990785,19197.3449952177,19256.21013476387,174217
155,car_diesel,2011,5,17837.44173106776,17808.658636006963,17866.224826128557,166845
156,car_diesel,2011,6,16947.728191300816,16919.94442303006,16975.51195957157,157417
157,car_diesel,2011,7,16133.674045807758,16104.750872320727,16162.59721929479,146962
158,car_diesel,2011,8,15590.070211981949,15551.743377706853,15628.397046257045,120765
159,car_diesel,2011,9,14848.907256207563,14822.54763796524,14875.266874449888,159644
160,car_diesel,2011,10,14200.464634897362,14145.519490666018,14255.409779128706,115940
161,car_diesel,2011,11,13547.45405920742,13499.242207539368,13595.665910875474,76308
162,car_diesel,2011,12,12849.491922564604,12804.006489279504,12894.977355849705,56305
163,car_diesel,2011,13,12309.294180309687,12240.323598468169,12378.264762151206,45078
164,car_diesel,2011,14,11442.225606369604,11383.52548276227,11500.925729976938,35795
165,car_diesel,2011,15,11029.48650300526,10945.757905652325,11113.215100358197,26620
166,car_diesel,2011,16,10604.55805445321,10523.993712640817,10685.122396265602,19907
167,car_diesel,2011,17,10176.367299359586,10068.83512700867,10283.899471710503,14678
168,car_diesel,2012,3,20585.491165334304,20555.56047985917,20615.42185080944,192640
169,car_diesel,2012,4,18987.999045958797,18958.495297758793,19017.5027941588,176680
170,car_diesel,2012,5,17926.82025362616,17897.445485759687,17956.195021492633,170842
171,car_diesel,2012,6,16898.58702890917,16868.569445139743,16928.604612678595,163270
172,car_diesel,2012,7,16121.033564671656,16091.9845634615,16150.082565881812,153282
