,fuel,age,y_mean,y_lower,y_upper,n
0,car_bev,3,13800.492165349639,13778.534318059865,13822.450012639412,167802
1,car_bev,4,13054.684771430195,13017.654194388371,13091.715348472018,70438
2,car_bev,5,12006.777354155134,11959.991467101143,12053.563241209125,39734
3,car_bev,6,11173.525171564123,11120.214952000542,11226.835391127703,27191
4,car_bev,7,10557.671259345914,10495.793675952726,10619.548842739103,19661
5,car_bev,8,9757.833836748183,9672.201087543419,9843.466585952947,12104
6,car_bev,9,8936.059680140599,8841.824636443891,9030.294723837307,5690
7,car_bev,10,7326.541720779222,7207.262102483164,7445.821339075279,2156
8,car_bev,11,6073.041409836066,5921.155552073474,6224.927267598659,915
9,car_bev_battery_30,3,11013.223518179226,10966.629448622261,11059.81758773619,24561
10,car_bev_battery_30,4,10221.950796993877,10172.697605060594,10271.20398892716,21556
11,car_bev_battery_30,5,9840.996117924304,9793.76335825884,9888.228877589767,20793
12,car_bev_battery_30,6,9466.568027719613,9420.785516150183,9512.350539289044,20058
13,car_bev_battery_30,7,9079.635894644645,9031.181965723712,9128.089823565579,15984
14,car_bev_battery_30,8,8775.804050327806,8693.705232439077,8857.902868216535,10372
15,car_bev_battery_30,9,8418.088404362754,8335.7265381269,8500.450270598607,4951
16,car_bev_battery_30,10,7728.821907817971,7592.076079454974,7865.567736180968,1714
17,car_bev_battery_30,11,5950.844897119342,5757.095245409899,6144.594548828785,486
18,car_bev_battery_60,3,12882.539278989498,12851.203608420667,12913.874949558329,80831
19,car_bev_battery_60,4,12936.904980961277,12877.825438045338,12995.984523877216,27838
20,car_bev_battery_60,5,12584.633707006371,12488.622245412867,12680.645168599875,9420
21,car_bev_battery_60,6,12690.172586359611,12410.250385896243,12970.09478682298,1129
22,car_bev_battery_60,7,12300.678271604938,11368.055549244455,13233.300993965422,81
23,car_bev_battery_60,8,,,,0
24,car_bev_battery_60,9,,,,0
25,car_bev_battery_60,10,,,,0
26,car_bev_battery_60,11,,,,0
27,car_bev_battery_100,3,16045.016810964898,16007.398832558727,16082.63478937107,60338
28,car_bev_battery_100,4,16264.832230296528,16186.940472385771,16342.723988207284,20504
29,car_bev_battery_100,5,16532.47539641944,16402.84861958693,16662.102173251948,8993
30,car_bev_battery_100,6,17179.27321801802,17010.305657583456,17348.240778452586,5550
31,car_bev_battery_100,7,18440.954049773758,18184.600303898183,18697.307795649333,3094
32,car_bev_battery_100,8,18379.738260524224,17997.19645345734,18762.280067591106,1259
33,car_bev_battery_100,9,19059.912259036148,18245.5589413649,19874.265576707396,332
34,car_bev_battery_100,10,17583.454,10711.349312181574,24455.55868781843,5
35,car_bev_battery_100,11,,,,0
