,fuel,age,y_mean,y_lower,y_upper,n
0,car_hev,3,14954.694966132802,14905.21676583636,15004.173166429244,179820
1,car_hev,4,16735.115342305337,16689.89908779355,16780.331596817123,105885
2,car_hev,5,15889.152256407728,15828.692763736877,15949.611749078578,80996
3,car_hev,6,16098.438147471752,16010.865880242645,16186.010414700859,52566
4,car_hev,7,16606.911220812453,16529.86992717823,16683.952514446675,46895
5,car_hev,8,16849.871721394586,16756.4360232096,16943.30741957957,38463
6,car_hev,9,15986.146046992279,15888.572551317586,16083.719542666971,27579
7,car_hev,10,15842.208092848183,15732.828196007535,15951.587989688831,23113
8,car_hev,11,14617.863682783553,14492.105251759858,14743.622113807247,13278
9,car_hev,12,14110.142952380953,13891.425841728429,14328.860063033477,8085
10,car_hev,13,15180.31049019608,14940.096243485708,15420.524736906451,7038
11,car_hev,14,15286.176121134024,15068.189808549163,15504.162433718884,4656
12,car_hev,15,13423.65149408641,13233.064178287348,13614.238809885474,4143
13,car_hev,16,13688.73244746896,13321.54839334823,14055.916501589689,4188
14,car_bev,3,14288.221672916403,14258.185164103377,14318.258181729429,94404
15,car_bev,4,14273.22954120064,14212.840772226513,14333.618310174768,30667
16,car_bev,5,13404.287646082075,13310.504768721614,13498.070523442537,12647
17,car_bev,6,13296.729292795773,13178.609167950768,13414.849417640778,7565
18,car_bev,7,12196.144660129852,12077.69030451655,12314.599015743153,7547
19,car_bev,8,10334.730373216247,10192.940055125575,10476.52069130692,6377
20,car_bev,9,9651.190403271292,9521.234498931277,9781.146307611307,3546
21,car_bev,10,8172.691931818183,8005.132261060834,8340.25160257553,1232
22,car_bev,11,5995.519594017095,5796.624569489719,6194.4146185444715,468
23,car_diesel,3,16887.90489025334,16863.01793717099,16912.79184333569,199186
24,car_diesel,4,17306.048825118658,17276.42802127343,17335.669628963886,191730
25,car_diesel,5,16400.84573528774,16372.160790092898,16429.530680482585,184472
26,car_diesel,6,15496.075837551656,15464.765631961647,15527.386043141665,137693
27,car_diesel,7,14573.852183877525,14548.934097768284,14598.770269986766,173224
28,car_diesel,8,13928.924563618357,13905.038865014041,13952.810262222672,170619
29,car_diesel,9,13277.626991257288,13249.061790750511,13306.192191764065,164823
30,car_diesel,10,12749.449453964253,12725.979581821655,12772.91932610685,157041
31,car_diesel,11,12281.46572859303,12255.444231713973,12307.487225472087,146179
32,car_diesel,12,11920.18171554439,11892.779187639559,11947.58424344922,133701
33,car_diesel,13,11546.271767308948,11518.298540731505,11574.244993886392,122480
34,car_diesel,14,11211.183689924146,11178.647298228674,11243.720081619618,102433
35,car_diesel,15,10823.5270058646,10789.497159033552,10857.556852695649,81506
36,car_diesel,16,10458.838223902676,10424.763603298929,10492.912844506423,66252
37,car_diesel,17,9891.46414003456,9852.02590356518,9930.902376503942,48031
38,car_diesel,18,9337.844728729964,9296.645731475586,9379.043725984342,34062
39,car_diesel,19,8750.733699500483,8674.613684967862,8826.853714033103,22822
40,car_diesel,20,8124.095435595611,8069.12580514147,8179.065066049752,16311
41,car_diesel,21,7917.636341943097,7800.859737433202,8034.412946452992,15254
42,car_diesel,22,6909.863709397472,6837.352388162972,6982.375030631973,8066
43,car_diesel,23,6183.655260500344,6094.95677090158,6272.353750099109,4357
44,car_diesel,24,5971.694468969931,5863.598700782741,6079.790237157122,3126
45,car_diesel,25,5402.434034045923,5294.5653936053,5510.302674486546,2526
46,car_diesel,26,5041.663132530121,4928.37614473843,5154.950120321812,1909
47,car_diesel,27,5020.296721311476,4844.5149433167535,5196.078499306199,1525
48,car_diesel,28,4231.325521472392,4100.7559355291305,4361.895107415654,1141
49,car_diesel,29,4107.216544117648,3957.360189769857,4257.072898465438,952
50,car_petrol,3,11238.146695572774,11223.03125141807,11253.262139727478,200419
51,car_petrol,4,11148.042919984171,11131.260824491237,11164.825015477105,194549
52,car_petrol,5,10884.173596638657,10867.736511083987,10900.610682193326,191590
53,car_petrol,6,10395.762591671042,10376.221836929184,10415.3033464129,146693
54,car_petrol,7,9897.04506020831,9880.336082345208,9913.75403807141,180789
55,car_petrol,8,9619.074531587645,9601.824222434738,9636.324840740552,180941
56,car_petrol,9,9314.757771680344,9294.878650249742,9334.636893110946,176577
57,car_petrol,10,9014.529186135926,8996.605813620252,9032.4525586516,172965
58,car_petrol,11,8797.685806755253,8778.888473466213,8816.483140044293,163606
59,car_petrol,12,8736.999680185872,8712.68511219097,8761.314248180775,151932
60,car_petrol,13,8502.604102364503,8477.739090723495,8527.469114005511,143878
61,car_petrol,14,8242.290287750813,8223.937402200245,8260.643173301381,128931
62,car_petrol,15,8205.379678525587,8180.601595230454,8230.15776182072,102061
63,car_petrol,16,8002.32183367714,7970.003693944593,8034.639973409687,84835
64,car_petrol,17,7734.6174951788835,7697.184612611653,7772.050377746114,64819
65,car_petrol,18,7227.151777550543,7181.869115058941,7272.434440042144,46941
66,car_petrol,19,6754.373922288561,6719.3001741578855,6789.447670419236,31321
67,car_petrol,20,6461.596345799316,6381.663779966154,6541.5289116324775,15188
68,car_petrol,21,6116.771809458533,5991.079413472531,6242.464205444536,14590
69,car_petrol,22,5478.1305639775255,5394.391684175039,5561.869443780012,9433
70,car_petrol,23,4983.874264524104,4907.002372560877,5060.74615648733,5663
71,car_petrol,24,4625.046778541954,4534.314180373841,4715.7793767100675,3635
72,car_petrol,25,4017.0640547945204,3915.6063447158504,4118.5217648731905,2555
73,car_petrol,26,3937.0163454960098,3829.7909275025086,4044.241763489511,1754
74,car_petrol,27,3794.96085106383,3629.8741518620063,3960.0475502656536,987
75,car_petrol,28,4070.194132730015,3649.852749505932,4490.535515954098,663
76,car_petrol,29,3074.187549234136,2902.008316123003,3246.366782345269,457
