,fuel,reg_year,test_year,y_mean,y_lower,y_upper,n
0,car_hev,2010,2013,57400.220977479075,57005.395691908634,57795.04626304952,8481
1,car_hev,2010,2014,74677.1270710572,74186.52255727285,75167.73158484155,8078
2,car_hev,2010,2015,94424.32952767712,93814.13228619726,95034.52676915699,8003
3,car_hev,2010,2016,114355.19625507614,113612.43613502446,115097.95637512782,7880
4,car_hev,2010,2017,136566.21143388134,135632.03525741585,137500.38761034684,6995
5,car_hev,2010,2018,155115.75234141172,154078.10644827428,156153.39823454915,7551
6,car_hev,2010,2019,175065.89009180505,173880.0403932742,176251.7397903359,7407
7,car_hev,2010,2020,189136.30889619674,187832.24920405017,190440.36858834332,6994
8,car_hev,2010,2021,198989.76144939844,197651.52219527942,200328.00070351746,7065
9,car_hev,2010,2022,211938.02539385276,210539.35467341536,213336.69611429016,6995
10,car_hev,2010,2023,222003.26971719458,220477.435948562,223529.10348582716,6188
11,car_hev,2011,2014,55648.49373829765,55289.45815939631,56007.52931719899,9293
12,car_hev,2011,2015,73437.62345101501,72978.1734896157,73897.07341241432,9064
13,car_hev,2011,2016,91165.54759186866,90605.09078084663,91726.00440289069,8953
14,car_hev,2011,2017,111671.79673648135,110940.00941379131,112403.5840591714,7878
15,car_hev,2011,2018,128554.50644235294,127728.69558545451,129380.31729925137,8500
16,car_hev,2011,2019,146987.66621528193,146021.3878501322,147953.94458043168,8389
17,car_hev,2011,2020,161590.6211120863,160501.3735493427,162679.86867482986,7976
18,car_hev,2011,2021,174378.38270618246,173210.24350670355,175546.52190566136,8233
19,car_hev,2011,2022,185184.4211167639,183953.3365744611,186415.5056590667,8059
20,car_hev,2011,2023,195364.58055509065,194012.23689656745,196716.92421361385,7170
21,car_hev,2012,2015,53321.18233333333,53048.181623380966,53594.183043285695,14490
22,car_hev,2012,2016,70220.15377907391,69870.24949076002,70570.0580673878,14059
23,car_hev,2012,2017,88139.68540573974,87674.70858313602,88604.66222834347,12126
24,car_hev,2012,2018,103747.57833988577,103220.22982507256,104274.92685469899,13481
25,car_hev,2012,2019,120659.02654552323,120030.19373096833,121287.85936007813,13235
26,car_hev,2012,2020,134150.124898374,133433.1924081309,134867.05738861708,12792
27,car_hev,2012,2021,146935.0873529412,146147.98554678104,147722.18915910134,13056
28,car_hev,2012,2022,161922.63178089587,161039.45665220355,162805.8069095882,12971
29,car_hev,2012,2023,169643.72592320625,168672.24922018053,170615.20262623197,11303
30,car_hev,2013,2016,53876.39046074265,53651.67829232554,54101.10262915977,24938
31,car_hev,2013,2017,70540.0286417389,70233.30159212655,70846.75569135125,20887
32,car_hev,2013,2018,85466.43737857389,85121.34208134205,85811.53267580572,23224
33,car_hev,2013,2019,101329.42461582145,100916.63637730358,101742.21285433932,22893
34,car_hev,2013,2020,114079.85355304141,113605.66615680461,114554.0409492782,21832
35,car_hev,2013,2021,125862.97042365324,125343.16384864965,126382.77699865683,22424
36,car_hev,2013,2022,139839.11891879787,139254.37941317048,140423.85842442527,22327
