,fuel,test_year,age,y_mean,y_lower,y_upper,n
0,car_hev,2010,3,56167.412834752984,55739.421007588964,56595.404661917004,5870
1,car_hev,2011,3,58245.66,57802.86323314611,58688.456766853895,5726
2,car_hev,2011,4,71709.49968861847,71182.76360637625,72236.23577086069,5588
3,car_hev,2012,3,55900.08293131423,55442.77762131706,56357.388241311404,5547
4,car_hev,2012,4,74092.63180422984,73500.65428621211,74684.60932224756,5343
5,car_hev,2012,5,85843.5218675253,85243.99808598662,86443.04564906398,5435
6,car_hev,2013,3,57404.432204301076,57010.83726915549,57798.02713944666,8556
7,car_hev,2013,4,72476.64195175041,71920.74345691215,73032.54044658867,5513
8,car_hev,2013,5,89831.09916443595,89189.0487203379,90473.14960853399,5230
9,car_hev,2013,6,100456.25751120239,99766.72613227274,101145.78889013204,5356
10,car_hev,2014,3,55970.62272641113,55613.32392002104,56327.92153280122,9496
11,car_hev,2014,4,75312.50936576062,74830.56568368466,75794.45304783658,8388
12,car_hev,2014,5,91852.94386680798,91178.02359292548,92527.86414069048,5661
13,car_hev,2014,6,107379.44141549029,106616.72102019939,108142.1618107812,5242
14,car_hev,2014,7,115645.27949543032,114864.84641531335,116425.7125755473,5252
15,car_hev,2015,3,53674.74171278086,53402.70380762959,53946.77961793213,14999
16,car_hev,2015,4,74924.05160990714,74475.07770171095,75373.02551810333,9690
17,car_hev,2015,5,95830.9027186954,95239.16104832217,96422.64438906864,8585
18,car_hev,2015,6,112068.07104422606,111252.29938351683,112883.84270493529,5698
19,car_hev,2015,7,124425.52945210728,123541.01579276103,125310.04311145353,5220
20,car_hev,2015,8,130150.57650401838,129288.2185844079,131012.93442362885,5226
21,car_hev,2016,3,54305.23254031151,54082.50299679156,54527.96208383146,25489
22,car_hev,2016,4,71642.51382998598,71294.05668814067,71990.9709718313,14987
23,car_hev,2016,5,94074.43254240773,93528.10373048096,94620.76135433449,9727
24,car_hev,2016,6,116627.37156606851,115914.32637338869,117340.41675874834,8582
25,car_hev,2016,7,130932.86529713479,129972.9920903542,131892.73850391537,5654
26,car_hev,2016,8,141254.14625,140247.3921826911,142260.90031730887,5152
27,car_hev,2016,9,144915.82027147568,143959.83418231373,145871.80636063762,5157
28,car_hev,2017,3,54635.90485091862,54414.13471707371,54857.67498476352,29011
29,car_hev,2017,4,71399.72137591329,71095.38043901674,71704.06231280984,21215
30,car_hev,2017,5,89936.68545074204,89473.1331633735,90400.23773811058,12668
31,car_hev,2017,6,114935.90675042487,114212.72471833033,115659.08878251941,8238
32,car_hev,2017,7,138968.72716534356,138057.43086755776,139880.02346312936,7306
33,car_hev,2017,8,151024.4920853081,149840.92724046347,152208.05693015273,4853
34,car_hev,2017,9,157844.74167202573,156627.08479983633,159062.39854421513,4354
35,car_hev,2017,10,158167.6753870968,157069.75939276261,159265.59138143098,4340
36,car_hev,2018,3,54929.76990653537,54734.54621171097,55124.993601359776,41941
37,car_hev,2018,4,71841.00534082107,71555.1897567071,72126.82092493503,28402
38,car_hev,2018,5,87378.24896746062,87034.85730469806,87721.64063022318,24309
39,car_hev,2018,6,107602.29237321821,107075.77536579355,108128.80938064287,14592
40,car_hev,2018,7,134576.203308642,133765.8999041474,135386.5067131366,9315
41,car_hev,2018,8,159481.27416666667,158487.7589148022,160474.78941853115,8280
42,car_hev,2018,9,168919.2378125,167659.01956579485,170179.45605920517,5408
43,car_hev,2018,10,171433.14214140183,170210.38109701188,172655.90318579177,4908
44,car_hev,2018,11,169670.88201729106,168581.1482486887,170760.61578589343,4858
45,car_hev,2019,3,52871.62116634799,52694.597548175225,53048.64478452076,50208
46,car_hev,2019,4,71822.54520320549,71569.07684541681,72076.01356099416,40181
47,car_hev,2019,5,88989.50705232103,88638.09471392492,89340.91939071714,28134
48,car_hev,2019,6,104510.34195055175,104095.47077421931,104925.21312688419,24106
49,car_hev,2019,7,126175.48254343629,125544.00801302728,126806.95707384529,14504
50,car_hev,2019,8,155231.32576054955,154275.6040313425,156187.0474897566,9171
51,car_hev,2019,9,180448.26214250494,179306.09010791848,181590.4341770914,8112
52,car_hev,2019,10,185298.69296788904,183903.14562935638,186694.2403064217,5263
53,car_hev,2019,11,179758.71915181447,178500.2505100978,181017.18779353113,4657
54,car_hev,2019,12,181750.97231341698,180577.1226159263,182924.82201090766,4703
55,car_hev,2020,3,49564.8510560751,49411.520390537946,49718.18172161226,55176
56,car_hev,2020,4,65606.96477731112,65385.3042853975,65828.62526922475,45714
57,car_hev,2020,5,84499.69616523731,84196.23698645414,84803.15534402049,37546
58,car_hev,2020,6,101034.54798574699,100630.47117247077,101438.62479902321,27082
59,car_hev,2020,7,115900.1776012146,115424.55955688085,116375.79564554835,22724
60,car_hev,2020,8,137391.2239757835,136687.26319758085,138095.18475398616,14040
