,fuel,age,y_mean,y_lower,y_upper,n
0,car_hev,3,43942.843519616035,43871.20278899101,44014.48425024106,178349
1,car_hev,4,61512.089614136894,61375.91026785039,61648.2689604234,105115
2,car_hev,5,74404.23407021073,74221.65353142905,74586.81460899241,80529
3,car_hev,6,92107.22725743732,91822.29552491553,92392.1589899591,52203
4,car_hev,7,111088.94325925928,110718.65926332033,111459.22725519823,46575
5,car_hev,8,131187.94766986475,130713.3852479778,131662.5100917517,38148
6,car_hev,9,145396.27048683248,144803.39217087938,145989.14880278558,27340
7,car_hev,10,159813.38801404214,159135.47522781222,160491.30080027206,22931
8,car_hev,11,172776.2469488429,171851.71896424776,173700.77493343802,13136
9,car_hev,12,198680.81861052106,197405.7151159595,199955.92210508263,8003
10,car_hev,13,220698.38492730676,219274.81452502572,222121.9553295878,6947
11,car_hev,14,225864.54131832096,224177.57744457,227551.50519207193,4574
12,car_hev,15,219599.4927911548,218125.21752935206,221073.76805295754,4070
13,car_hev,16,221693.84839355468,220301.41893875023,223086.27784835914,4096
14,car_hev,17,232068.46901840493,230221.5186877952,233915.41934901464,2282
15,car_bev,3,42429.41704342097,42345.79908224826,42513.03500459367,94102
16,car_bev,4,53515.36416472212,53333.72499586558,53697.003333578665,30427
17,car_bev,5,65328.964989626555,64986.95816850384,65670.97181074927,12532
18,car_bev,6,80893.04219004406,80376.06284804286,81410.02153204526,7493
19,car_bev,7,89234.52408384679,88653.6843682082,89815.36379948538,7466
20,car_bev,8,88546.6566449873,87941.0854546617,89152.22783531291,6304
21,car_bev,9,97127.26580525415,96312.77923750125,97941.75237300705,3502
22,car_bev,10,102607.09683950616,101404.10976941744,103810.08390959489,1215
23,car_bev,11,90639.06011013215,88988.3302786676,92289.7899415967,454
24,car_bev,12,90511.51230352305,88507.67080480239,92515.35380224371,369
25,car_diesel,3,50131.030316716286,50066.197475371075,50195.8631580615,219313
26,car_diesel,4,66305.69351295609,66222.93832625939,66388.44869965278,208975
27,car_diesel,5,81802.0948816272,81706.11305265628,81898.07671059812,200933
28,car_diesel,6,96609.983253645,96485.86510503951,96734.10140225048,150001
29,car_diesel,7,110012.33955301372,109894.02584738836,110130.65325863908,188753
