,fuel,age,y_mean,y_lower,y_upper,n
0,car_hev,3,15114.619992971862,15095.001721003926,15134.238264939799,268919
1,car_hev,4,15367.08568582789,15333.348545756764,15400.822825899015,148390
2,car_hev,5,16672.535168688737,16618.086591087016,16726.983746290458,90996
3,car_hev,6,15833.560314272147,15770.877507349644,15896.24312119465,71594
4,car_hev,7,15635.496425606952,15557.829036123187,15713.163815090718,46503
5,car_hev,8,16436.936151699832,16354.231347018027,16519.640956381638,40857
6,car_hev,9,16545.192577100945,16450.486926647653,16639.898227554237,33949
7,car_hev,10,16112.114337499,15993.042995863096,16231.185679134906,24966
8,car_hev,11,13892.32813271293,13794.302659165125,13990.353606260735,19772
9,car_hev,12,13164.337732793523,13039.626278624439,13289.049186962608,11609
10,car_hev,13,13717.358774834438,13553.146103469699,13881.571446199177,6946
11,car_hev,14,15037.472123907864,14764.573535665664,15310.370712150065,6295
12,car_hev,15,15008.33004240459,14775.086481082908,15241.573603726272,4009
13,car_hev,16,12942.406409395973,12754.467283844671,13130.345534947275,3576
14,car_hev,17,13085.750278390296,12884.193683181331,13287.306873599262,3628
15,car_bev,3,15748.22147515692,15721.407787291228,15775.035163022614,151672
16,car_bev,4,14670.642281714789,14630.437248430475,14710.847314999102,80010
17,car_bev,5,14059.825249794372,13995.745360766346,14123.905138822398,27963
18,car_bev,6,12627.443733760292,12532.324718073589,12722.562749446995,10930
19,car_bev,7,12149.405837076043,12025.983359830974,12272.828314321112,6457
20,car_bev,8,11059.591751592357,10940.822813379684,11178.360689805031,6594
21,car_bev,9,9322.974785353537,9221.46260870629,9424.486962000785,5544
22,car_bev,10,8776.905541441727,8658.829564705666,8894.981518177789,3149
23,car_bev,11,7329.175412511333,7171.486561358433,7486.864263664233,1103
24,car_bev,12,5276.493577235772,5066.5673487997865,5486.419805671758,369
25,car_diesel,3,18114.623911467428,18090.527854529326,18138.71996840553,217660
26,car_diesel,4,16755.922367847805,16728.16979607768,16783.67493961793,182706
27,car_diesel,5,16672.61868034966,16641.298964308695,16703.938396390626,182465
28,car_diesel,6,16013.481769210324,15984.915075251656,16042.048463168992,176819
29,car_diesel,7,15164.987326667126,15134.046182659344,15195.928470674908,131409
30,car_diesel,8,14173.169259187529,14141.093043766667,14205.245474608391,165224
31,car_diesel,9,13494.795399708682,13470.540408645402,13519.050390771963,163394
32,car_diesel,10,12916.544035722967,12886.53512328287,12946.552948163064,156314
33,car_diesel,11,12424.486533187835,12396.091009419808,12452.882056955863,147539
34,car_diesel,12,11935.562068090081,11908.614278057123,11962.50985812304,133529
35,car_diesel,13,11586.374059670181,11561.13110751732,11611.617011823042,119155
36,car_diesel,14,11228.119306029686,11200.675520574849,11255.563091484524,106042
37,car_diesel,15,10890.263603862273,10856.520372939645,10924.006834784901,86374
38,car_diesel,16,10525.485608802333,10487.264956360523,10563.706261244144,65210
39,car_diesel,17,10154.719644453991,10100.154342820959,10209.284946087024,51217
40,car_diesel,18,9607.876915802824,9552.03605729297,9663.71777431268,36272
41,car_diesel,19,9099.575855226607,9043.186356107337,9155.965354345877,25198
42,car_diesel,20,8520.77957628136,8395.869483619623,8645.689668943098,16662
