,fuel,age,percentage
0,car_bev,0,1.0
1,car_bev,1,0.968928687
2,car_bev,2,0.935176358
3,car_bev,3,0.904008726
4,car_bev,4,0.894078857
5,car_bev,5,0.841196887
6,car_bev,6,0.842696303
7,car_bev,7,0.806447297
8,car_bev,8,0.784247735
9,car_bev,9,0.684115567
10,car_bev,10,0.601356908
11,car_bev_battery_30,0,1.0
12,car_bev_battery_30,1,0.968928687
13,car_bev_battery_30,2,0.935176358
14,car_bev_battery_30,3,0.904008726
15,car_bev_battery_30,4,0.899212998
16,car_bev_battery_30,5,0.845229552
17,car_bev_battery_30,6,0.844772682
18,car_bev_battery_30,7,0.807545111
19,car_bev_battery_30,8,0.785996787
20,car_bev_battery_30,9,0.684115567
21,car_bev_battery_30,10,0.601356908
22,car_bev_battery_60,0,1.0
23,car_bev_battery_60,1,0.968928687
24,car_bev_battery_60,2,0.935176358
25,car_bev_battery_60,3,0.904008726
26,car_bev_battery_60,4,0.896311833
27,car_bev_battery_60,5,0.847571992
28,car_bev_battery_60,6,0.853900198
29,car_bev_battery_100,0,1.0
30,car_bev_battery_100,1,0.968928687
31,car_bev_battery_100,2,0.935176358
32,car_bev_battery_100,3,0.904008726
33,car_bev_battery_100,4,0.887644529
34,car_bev_battery_100,5,0.833301985
35,car_bev_battery_100,6,0.836047723
36,car_bev_battery_100,7,0.800241314
37,car_bev_battery_100,8,0.768659848
