,fuel,age,y_mean,y_lower,y_upper,n
0,car_bev_battery_30,3,17573.191548387098,17034.40548994059,18111.977606833607,465
1,car_bev_battery_30,4,22521.323615751793,22041.706807932336,23000.94042357125,838
2,car_bev_battery_30,5,26549.781825726142,25849.595140123096,27249.96851132919,482
3,car_bev_battery_30,6,47279.4401243094,46165.61928257014,48393.26096604867,724
4,car_bev_battery_30,7,77198.48376835689,76614.3144397357,77782.65309697809,3609
5,car_bev_battery_30,8,83911.57686990291,83386.15976379084,84436.99397601499,5150
6,car_bev_battery_30,9,86810.0489471494,86290.65363975748,87329.4442545413,4806
7,car_bev_battery_30,10,98195.93275590552,97443.61865985862,98948.24685195243,2921
8,car_bev_battery_30,11,108881.65772313297,107596.0084740489,110167.30697221705,1098
9,car_bev_battery_30,12,95729.56367816092,93714.47212466091,97744.65523166093,348
10,car_bev_battery_60,3,41336.261222513975,41236.422031865906,41436.10041316204,74265
11,car_bev_battery_60,4,53405.60628484312,53250.7818787577,53560.43069092854,46243
12,car_bev_battery_60,5,62680.97484934854,62397.97498300262,62963.97471569446,17192
13,car_bev_battery_60,6,73183.605037057,72718.90261339134,73648.30746072266,7421
14,car_bev_battery_60,7,85128.73717131474,83711.00966001533,86546.46468261415,1004
15,car_bev_battery_60,8,103960.75344827586,98568.1749321237,109353.33196442803,87
16,car_bev_battery_60,9,,,,0
17,car_bev_battery_60,10,,,,0
18,car_bev_battery_60,11,,,,0
19,car_bev_battery_60,12,,,,0
20,car_bev_battery_100,3,53071.91862813563,52960.578226067686,53183.259030203575,76181
21,car_bev_battery_100,4,63740.51745186761,63564.89997802794,63916.13492570727,32930
22,car_bev_battery_100,5,76738.90824569929,76365.55974480299,77112.2567465956,10289
23,car_bev_battery_100,6,94123.41244165172,93237.69846401019,95009.12641929324,2785
24,car_bev_battery_100,7,120843.600021692,119499.56040381883,122187.63963956515,1844
25,car_bev_battery_100,8,149487.39067796612,147540.87064478284,151433.9107111494,1357
26,car_bev_battery_100,9,162680.7941869919,159918.90798453466,165442.68038944915,738
27,car_bev_battery_100,10,180984.8452631579,176184.2862441691,185785.40428214672,228
28,car_bev_battery_100,11,220467.60400000005,188187.48819967793,252747.71980032217,5
29,car_bev_battery_100,12,,,,0
30,car_bev,3,47323.802487670764,47247.21621036145,47400.38876498008,151672
31,car_bev,4,57335.34535433071,57218.13718779249,57452.55352086893,80010
32,car_bev,5,67230.8028963273,67002.8704307831,67458.73536187148,27963
33,car_bev,6,76803.25263311986,76392.16797386005,77214.33729237967,10930
34,car_bev,7,90895.79967167416,90296.51951399128,91495.07982935704,6457
35,car_bev,8,97671.15492569003,97007.77308619487,98334.5367651852,6594
36,car_bev,9,96909.72607323233,96233.28449300803,97586.16765345664,5544
37,car_bev,10,104190.17602413465,103322.11990764482,105058.23214062447,3149
38,car_bev,11,109387.48703535814,108081.32170027553,110693.65237044074,1103
39,car_bev,12,96481.41848238483,94512.43017568524,98450.40678908443,369
