,fuel,mileage,percentage,mileage_stderr
0,car_bev,86541.38124999999,0.841196887,5659.244374710837
1,car_bev,90844.5025490196,0.842696303,5065.993735114825
2,car_bev,83946.45921052634,0.806447297,4261.026012602372
3,car_bev,92148.37037974683,0.784247735,6716.93625547339
4,car_bev,100478.53735294117,0.684115567,8233.042939466923
5,car_bev,101206.56,0.601356908,10614.81897372468
6,car_bev_battery_30,66853.06979166667,0.845229552,5609.409767140377
7,car_bev_battery_30,72063.55046153849,0.844772682,4115.041625675014
8,car_bev_battery_30,74137.59846153847,0.807545111,3905.39907507886
9,car_bev_battery_30,81050.2784848485,0.785996787,5925.773564178636
10,car_bev_battery_30,100478.53735294117,0.684115567,8233.042939466923
11,car_bev_battery_30,101206.56,0.601356908,10614.81897372468
12,car_bev_battery_60,62707.56800000001,0.847571992,12788.700185137033
13,car_bev_battery_60,,0.853900198,
14,car_bev_battery_60,,0.0,
15,car_bev_battery_60,,0.0,
16,car_bev_battery_60,,0.0,
17,car_bev_battery_60,,0.0,
18,car_bev_battery_100,104578.80525423729,0.833301985,9098.157275850484
19,car_bev_battery_100,123838.06702702703,0.836047723,9907.43737280877
20,car_bev_battery_100,122755.42999999998,0.800241314,11384.267267772742
21,car_bev_battery_100,148492.52923076926,0.768659848,22356.412058199912
22,car_bev_battery_100,,0.0,
23,car_bev_battery_100,,0.0,
